[baseline] 300 clean images
[0049e5b8-725e21a0.jpg] Left lines: 13, Right lines: 13
[0081e27b-17bf4a9e.jpg] Left lines: 6, Right lines: 17
[00beeb02-50440dcd.jpg] Left lines: 2, Right lines: 1
[00d4b6b7-7d0a60bf.jpg] Left lines: 8, Right lines: 3
[01118704-2d838d7f.jpg] Left lines: 8, Right lines: 6
[0115917e-14907a6a.jpg] Left lines: 10, Right lines: 11
[02188a44-65ad27f3.jpg] Left lines: 33, Right lines: 1
[02494b7b-079febf8.jpg] Left lines: 15, Right lines: 4
[029ffd50-dc944dba.jpg] Left lines: 10, Right lines: 10
[0464a98b-860229d5.jpg] Left lines: 10, Right lines: 30
[051aadb7-51aad566.jpg] Left lines: 6, Right lines: 6
[051aadb7-e953bc4d.jpg] Left lines: 18, Right lines: 16
[05743a9b-747658e7.jpg] Left lines: 13, Right lines: 25
[057af272-6f700aef.jpg] Left lines: 8, Right lines: 10
[05d62296-30c620d5.jpg] Left lines: 12, Right lines: 4
[05e5a68e-f0e05a42.jpg] Left lines: 32, Right lines: 5
[05fa6494-8f436d04.jpg] Left lines: 27, Right lines: 23
[060039d9-5218402b.jpg] Left lines: 29, Right lines: 17
[064aa0d6-f75ff4d5.jpg] Left lines: 9, Right lines: 10
[07de5062-ddddcbd7.jpg] Left lines: 2, Right lines: 4
[088351d1-30833ddc.jpg] Left lines: 17, Right lines: 6
[08a49c01-675d3899.jpg] Left lines: 15, Right lines: 6
[08d4285a-4a25b9b6.jpg] Left lines: 6, Right lines: 13
[09ac21d6-eefa8ed0.jpg] Left lines: 17, Right lines: 14
[0a0a0b1a-7c39d841.jpg] Left lines: 5, Right lines: 12
[0af6039a-f3c91319.jpg] Left lines: 17, Right lines: 7
[0b2f5d0d-8fddc1fc.jpg] Left lines: 18, Right lines: 15
[0b4225f9-bfb10f88.jpg] Left lines: 9, Right lines: 3
[0ba08fe3-880ae118.jpg] Left lines: 5, Right lines: 23
[0c2f33b9-f94d69b5.jpg] Left lines: 26, Right lines: 14
[0c984e6d-2b5d7ee4.jpg] Left lines: 5, Right lines: 6
[0cb67a01-7cf1687e.jpg] Left lines: 11, Right lines: 18
[0cc6f3e8-b4c9e348.jpg] Left lines: 13, Right lines: 36
[0cf398b3-ce65ab64.jpg] Left lines: 7, Right lines: 5
[0d3ec56a-f4cead6f.jpg] Left lines: 8, Right lines: 18
[0d61234a-542010b2.jpg] Left lines: 12, Right lines: 12
[0e442b65-b17e0b50.jpg] Left lines: 11, Right lines: 1
[0e5c7e92-0d9c60f0.jpg] Left lines: 12, Right lines: 13
[0f837def-9646c091.jpg] Left lines: 11, Right lines: 6
[0fba84f9-73b520ee.jpg] Left lines: 16, Right lines: 12
[101a0964-930eae70.jpg] Left lines: 8, Right lines: 12
[10389fe8-433c740c.jpg] Left lines: 22, Right lines: 15
[10453a95-40759ac3.jpg] Left lines: 3, Right lines: 14
[1072195f-0a161ade.jpg] Left lines: 16, Right lines: 18
[1072195f-6cf88b25.jpg] Left lines: 6, Right lines: 11
[11513e3d-150058c3.jpg] Left lines: 8, Right lines: 17
[1189ae68-1a8ad3c6.jpg] Left lines: 13, Right lines: 6
[12076ebb-c07285d7.jpg] Left lines: 6, Right lines: 11
[125134e5-7dfc45b9.jpg] Left lines: 5, Right lines: 17
[12ae9ab8-794f5adc.jpg] Left lines: 13, Right lines: 13
[13f61134-50021e53.jpg] Left lines: 5, Right lines: 4
[14eace5a-ddf3b303.jpg] Left lines: 30, Right lines: 2
[1608cfe7-32da2c5d.jpg] Left lines: 10, Right lines: 9
[162995f1-d2c7d259.jpg] Left lines: 14, Right lines: 14
[16b0973f-c07b564a.jpg] Left lines: 25, Right lines: 4
[1784d67b-6b223914.jpg] Left lines: 11, Right lines: 13
[1784d67b-d76145ce.jpg] Left lines: 9, Right lines: 9
[188c58f3-792afc71.jpg] Left lines: 9, Right lines: 30
[193f7f3b-84bc7998.jpg] Left lines: 9, Right lines: 6
[194058b0-ac0616a6.jpg] Left lines: 23, Right lines: 2
[19e56249-09c4bbc6.jpg] Left lines: 1, Right lines: 6
[1a71faae-d5f255fd.jpg] Left lines: 11, Right lines: 11
[1a8992a7-da5a8510.jpg] Left lines: 4, Right lines: 7
[1ac0178c-0b259360.jpg] Left lines: 1, Right lines: 11
[1b30f76f-95aa8a06.jpg] Left lines: 15, Right lines: 9
[1bda5a26-420ceea6.jpg] Left lines: 15, Right lines: 9
[1bf7f3d2-15f95138.jpg] Left lines: 20, Right lines: 19
[1c227a12-10e5552c.jpg] Left lines: 2, Right lines: 10
[1c227a12-ec67af93.jpg] Left lines: 10, Right lines: 1
[1c5e9657-2e2a2863.jpg] Left lines: 2, Right lines: 9
[1cb2a89b-4594573e.jpg] Left lines: 10, Right lines: 11
[1cf54809-c6daa5a9.jpg] Left lines: 14, Right lines: 16
[1d5e05f8-5020f67d.jpg] Left lines: 26, Right lines: 13
[1e57ae90-806bc767.jpg] Left lines: 8, Right lines: 20
[1f959fdd-6ff63d34.jpg] Left lines: 3, Right lines: 13
[1fa65acf-d43367bc.jpg] Left lines: 21, Right lines: 5
[20cfadfa-47711496.jpg] Left lines: 11, Right lines: 15
[20cfadfa-6f87fdc1.jpg] Left lines: 32, Right lines: 29
[225a1858-0e3a4b04.jpg] Left lines: 7, Right lines: 1
[22be2f14-59fbdca0.jpg] Left lines: 10, Right lines: 24
[23333f35-0cbc3f0f.jpg] Left lines: 4, Right lines: 4
[23df146f-64b50e4c.jpg] Left lines: 20, Right lines: 24
[24392d7c-998011c2.jpg] Left lines: 12, Right lines: 13
[250e7595-b14da270.jpg] Left lines: 20, Right lines: 13
[26190b83-39ccb412.jpg] Left lines: 4, Right lines: 28
[272d52f6-8aac36b3.jpg] Left lines: 15, Right lines: 11
[2752681a-e813599a.jpg] Left lines: 19, Right lines: 7
[27645526-f038b033.jpg] Left lines: 57, Right lines: 3
[2773af6f-23e23a6b.jpg] Left lines: 13, Right lines: 11
[28faf684-03ef4c6e.jpg] Left lines: 9, Right lines: 14
[292720ee-d847ee69.jpg] Left lines: 9, Right lines: 10
[2b54fe2d-c5b810e6.jpg] Left lines: 30, Right lines: 14
[2b605c48-8dfe352b.jpg] Left lines: 18, Right lines: 42
[2beccce2-354608e2.jpg] Left lines: 27, Right lines: 28
