img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db,match_ratio_vs_baseline
00e9be89-00000015.jpg,00e9be89-00000100.jpg,orb,2000,2000,5,4,0.8,0.0025,47.4,0.0655,0.0541,C:\Users\amit\Project_digital_image_processing__Amit_Alon\outputs\visualizations\task2\enhanced_visualizations\motion_blur\level_1\match_00e9be89-00000015__00e9be89-00000100.png,motion_blur,1,28.500270340002437,0.0025
00e9be89-00000100.jpg,00e9be89-00000105.jpg,orb,2000,2000,1028,1017,0.9893,0.514,23.4319,0.0463,0.0557,,motion_blur,1,31.90970488753109,0.514
00e9be89-00000105.jpg,00e9be89-00000110.jpg,orb,2000,2000,1040,1027,0.9875,0.52,21.5433,0.1087,0.0371,,motion_blur,1,31.39963567829991,0.52
00e9be89-00000110.jpg,00e9be89-00000115.jpg,orb,2000,2000,1065,1053,0.9887,0.5325,21.5606,0.0693,0.0472,,motion_blur,1,31.68544967950393,0.5325
00e9be89-00000115.jpg,00e9be89-00000120.jpg,orb,2000,2000,1244,1238,0.9952,0.622,18.1069,0.0479,0.0183,,motion_blur,1,31.89835869122799,0.622
00e9be89-00000120.jpg,00e9be89-00000125.jpg,orb,2000,2000,699,688,0.9843,0.3495,28.1917,0.0413,0.0564,,motion_blur,1,31.94256211276148,0.3495
00e9be89-00000125.jpg,00e9be89-00000130.jpg,orb,2000,2000,862,853,0.9896,0.431,23.0267,0.037,0.0317,,motion_blur,1,31.50385236638424,0.431
00e9be89-00000130.jpg,00e9be89-00000135.jpg,orb,2000,2000,992,988,0.996,0.496,22.5423,0.0489,0.0201,,motion_blur,1,31.75103310843112,0.496
00e9be89-00000135.jpg,00e9be89-00000140.jpg,orb,2000,2000,1068,1054,0.9869,0.534,22.4897,0.0471,0.0437,,motion_blur,1,31.742406352557715,0.534
00e9be89-00000140.jpg,00e9be89-00000145.jpg,orb,2000,2000,279,238,0.853,0.1395,34.3763,0.0495,0.0461,,motion_blur,1,32.56340538488532,0.1395
00e9be89-00000145.jpg,00e9be89-00000150.jpg,orb,2000,2000,12,5,0.4167,0.006,38.5,0.0832,0.046,,motion_blur,1,30.42377075515348,0.006
00e9be89-00000150.jpg,00e9be89-00000160.jpg,orb,2000,2000,3,0,0.0,0.0015,42.6667,0.0371,0.0529,,motion_blur,1,28.889182270074144,0.0015
00e9be89-00000160.jpg,00e9be89-00000165.jpg,orb,2000,2000,12,6,0.5,0.006,43.5833,0.0682,0.0533,,motion_blur,1,29.805778936286927,0.006
00e9be89-00000165.jpg,00e9be89-00000175.jpg,orb,2000,2000,7,4,0.5714,0.0035,41.7143,0.0673,0.0436,,motion_blur,1,29.443987862747164,0.0035
00e9be89-00000175.jpg,00e9be89-00000190.jpg,orb,2000,2000,6,4,0.6667,0.003,43.8333,0.0379,0.0449,,motion_blur,1,30.09824056278988,0.003
00e9be89-00000190.jpg,00e9be89-00001000.jpg,orb,2000,2000,9,4,0.4444,0.0045,48.0,0.0618,0.0222,,motion_blur,1,34.69895344530296,0.0045
00e9be89-00001000.jpg,00e9be89-00001005.jpg,orb,2000,2000,12,6,0.5,0.006,43.0833,0.0314,0.0538,,motion_blur,1,42.0797319637144,0.006
00e9be89-00001005.jpg,00e9be89-00001010.jpg,orb,2000,2000,14,4,0.2857,0.007,42.5714,0.0363,0.0287,,motion_blur,1,42.51431718873459,0.007
00e9be89-00001010.jpg,00e9be89-00001015.jpg,orb,2000,1996,24,8,0.3333,0.012,42.875,0.033,0.0499,,motion_blur,1,40.95029088981149,0.012048192771084338
00e9be89-00001015.jpg,00e9be89-00001020.jpg,orb,1996,2000,25,7,0.28,0.0125,42.32,0.0673,0.0479,,motion_blur,1,39.28227669531405,0.012550200803212851
00e9be89-00001020.jpg,00e9be89-00001025.jpg,orb,2000,2000,12,6,0.5,0.006,39.9167,0.055,0.0538,,motion_blur,1,38.511767133259056,0.006
00e9be89-00001025.jpg,00e9be89-00001030.jpg,orb,2000,2000,39,13,0.3333,0.0195,40.9231,0.0582,0.0475,,motion_blur,1,39.49309725252152,0.0195
00e9be89-00001030.jpg,00e9be89-00001035.jpg,orb,2000,2000,83,47,0.5663,0.0415,38.494,0.0407,0.0226,,motion_blur,1,39.22526365104428,0.0415
00e9be89-00001035.jpg,00e9be89-00001040.jpg,orb,2000,2000,127,97,0.7638,0.0635,36.4646,0.0698,0.0241,,motion_blur,1,40.76358219057367,0.0635
00e9be89-00001040.jpg,00e9be89-00001045.jpg,orb,2000,2000,204,112,0.549,0.102,35.5588,0.0284,0.055,,motion_blur,1,40.78286279083716,0.102
00e9be89-00001045.jpg,00e9be89-00001050.jpg,orb,2000,2000,71,29,0.4085,0.0355,39.5352,0.0405,0.0425,,motion_blur,1,41.01892248524446,0.0355
00e9be89-00001050.jpg,00e9be89-00001055.jpg,orb,2000,2000,83,34,0.4096,0.0415,38.2651,0.0401,0.0484,,motion_blur,1,40.15190461639723,0.0415
00e9be89-00001055.jpg,00e9be89-00001060.jpg,orb,2000,2000,127,69,0.5433,0.0635,37.4016,0.0285,0.0559,,motion_blur,1,39.64636289465671,0.0635
00e9be89-00001060.jpg,00e9be89-00001065.jpg,orb,2000,2000,66,48,0.7273,0.033,37.8485,0.0461,0.0445,,motion_blur,1,39.18874172669818,0.033
00e9be89-00001065.jpg,00e9be89-00001070.jpg,orb,2000,2000,125,105,0.84,0.0625,35.832,0.0301,0.0547,,motion_blur,1,38.12674662425515,0.0625
00e9be89-00001070.jpg,00e9be89-00001075.jpg,orb,2000,2000,77,40,0.5195,0.0385,39.1688,0.0393,0.0498,,motion_blur,1,37.112561092676586,0.0385
00e9be89-00001075.jpg,00e9be89-00001080.jpg,orb,2000,2000,39,19,0.4872,0.0195,38.3846,0.0307,0.0458,,motion_blur,1,38.08308296750312,0.0195
00e9be89-00001080.jpg,00e9be89-00001090.jpg,orb,2000,2000,26,11,0.4231,0.013,39.9231,0.0369,0.0201,,motion_blur,1,40.44090229355234,0.013
00e9be89-00001090.jpg,00e9be89-00001095.jpg,orb,2000,2000,68,53,0.7794,0.034,34.1765,0.0292,0.0453,,motion_blur,1,39.32340219163535,0.034
00e9be89-00001095.jpg,00e9be89-00001100.jpg,orb,2000,2000,60,38,0.6333,0.03,36.4667,0.0411,0.0458,,motion_blur,1,38.78196363143853,0.03
00e9be89-00001100.jpg,00e9be89-00001105.jpg,orb,2000,2000,28,9,0.3214,0.014,42.3214,0.0304,0.0563,,motion_blur,1,38.215381870152704,0.014
