epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.877,1.76188,3.05853,1.04906,0.03206,0.25362,0.09438,0.05628,1.68595,3.40553,0.93999,0.00032219,0.00032219,0.00032219
2,270.784,1.69161,1.63715,1.01585,0.75654,0.06425,0.13968,0.0759,1.57567,2.33761,1.01349,0.000612228,0.000612228,0.000612228
3,397.625,1.63582,1.56849,1.04164,0.34753,0.13782,0.15865,0.08579,1.58697,1.83287,1.03275,0.00085827,0.00085827,0.00085827
4,529.531,1.55391,1.48573,1.01133,0.31012,0.15274,0.16861,0.10318,1.56292,1.46566,1.02431,0.000891022,0.000891022,0.000891022
5,652.57,1.55803,1.41286,1.00697,0.33721,0.16229,0.16739,0.09776,1.52306,1.36709,1.02023,0.000817696,0.000817696,0.000817696
6,774.424,1.62895,1.64861,1.03211,0.30625,0.15659,0.17442,0.10408,1.55196,1.50054,1.02117,0.00074437,0.00074437,0.00074437
7,902.292,1.5489,1.5421,1.01818,0.28556,0.17112,0.18464,0.11004,1.49104,1.33348,0.99963,0.000671044,0.000671044,0.000671044
8,1023.03,1.5479,1.48041,1.00311,0.32304,0.18758,0.18257,0.11099,1.46269,1.31085,0.98591,0.000597718,0.000597718,0.000597718
9,1146.58,1.48736,1.38109,0.99773,0.31791,0.17896,0.19215,0.11115,1.4901,1.26763,0.97658,0.000524392,0.000524392,0.000524392
10,1268.03,1.47862,1.37128,0.99013,0.3994,0.16875,0.20085,0.12182,1.45788,1.24666,0.97111,0.000451066,0.000451066,0.000451066
11,1388.89,1.44597,1.31873,0.97296,0.41836,0.17241,0.20273,0.12415,1.45467,1.21894,0.96068,0.00037774,0.00037774,0.00037774
12,1508.47,1.44019,1.30962,0.97663,0.31434,0.20522,0.21349,0.13357,1.43134,1.20199,0.96457,0.000304414,0.000304414,0.000304414
13,1628.78,1.44827,1.29004,0.98435,0.37023,0.19937,0.21901,0.1366,1.42681,1.17278,0.95917,0.000231088,0.000231088,0.000231088
14,1748.05,1.39384,1.24689,0.95518,0.34928,0.19616,0.21906,0.13865,1.40795,1.14973,0.95845,0.000157762,0.000157762,0.000157762
15,1868.43,1.38828,1.21899,0.96895,0.3689,0.18575,0.2224,0.14188,1.40688,1.14548,0.95627,8.4436e-05,8.4436e-05,8.4436e-05
