filename,augmentation,level,achieved_snr_db
0049e5b8-725e21a0.jpg,motion_blur,1,34.45
0049e5b8-725e21a0.jpg,motion_blur,2,30.08
0049e5b8-725e21a0.jpg,motion_blur,3,28.16
0049e5b8-725e21a0.jpg,motion_blur,4,26.96
0049e5b8-725e21a0.jpg,motion_blur,5,26.04
0049e5b8-725e21a0.jpg,motion_blur,6,25.29
0049e5b8-725e21a0.jpg,motion_blur,7,24.69
0049e5b8-725e21a0.jpg,motion_blur,8,24.21
0049e5b8-725e21a0.jpg,motion_blur,9,23.82
0049e5b8-725e21a0.jpg,low_light,1,9.9
0049e5b8-725e21a0.jpg,low_light,2,7.48
0049e5b8-725e21a0.jpg,low_light,3,5.59
0049e5b8-725e21a0.jpg,low_light,4,4.12
0049e5b8-725e21a0.jpg,low_light,5,2.95
0049e5b8-725e21a0.jpg,low_light,6,1.98
0049e5b8-725e21a0.jpg,low_light,7,1.22
0049e5b8-725e21a0.jpg,low_light,8,0.62
0049e5b8-725e21a0.jpg,low_light,9,0.19
0049e5b8-725e21a0.jpg,rain,1,20.83
0049e5b8-725e21a0.jpg,rain,2,15.65
0049e5b8-725e21a0.jpg,rain,3,12.14
0049e5b8-725e21a0.jpg,rain,4,9.95
0049e5b8-725e21a0.jpg,rain,5,8.36
0049e5b8-725e21a0.jpg,rain,6,7.18
0049e5b8-725e21a0.jpg,rain,7,6.24
0049e5b8-725e21a0.jpg,rain,8,5.48
0049e5b8-725e21a0.jpg,rain,9,4.81
0081e27b-17bf4a9e.jpg,motion_blur,1,33.81
0081e27b-17bf4a9e.jpg,motion_blur,2,29.21
0081e27b-17bf4a9e.jpg,motion_blur,3,27.22
0081e27b-17bf4a9e.jpg,motion_blur,4,26.12
0081e27b-17bf4a9e.jpg,motion_blur,5,25.35
0081e27b-17bf4a9e.jpg,motion_blur,6,24.75
0081e27b-17bf4a9e.jpg,motion_blur,7,24.25
0081e27b-17bf4a9e.jpg,motion_blur,8,23.82
0081e27b-17bf4a9e.jpg,motion_blur,9,23.45
0081e27b-17bf4a9e.jpg,low_light,1,9.93
0081e27b-17bf4a9e.jpg,low_light,2,7.5
0081e27b-17bf4a9e.jpg,low_light,3,5.6
0081e27b-17bf4a9e.jpg,low_light,4,4.12
0081e27b-17bf4a9e.jpg,low_light,5,2.95
0081e27b-17bf4a9e.jpg,low_light,6,1.99
0081e27b-17bf4a9e.jpg,low_light,7,1.22
0081e27b-17bf4a9e.jpg,low_light,8,0.63
0081e27b-17bf4a9e.jpg,low_light,9,0.19
0081e27b-17bf4a9e.jpg,rain,1,21.7
0081e27b-17bf4a9e.jpg,rain,2,16.65
0081e27b-17bf4a9e.jpg,rain,3,12.85
0081e27b-17bf4a9e.jpg,rain,4,10.5
0081e27b-17bf4a9e.jpg,rain,5,8.77
0081e27b-17bf4a9e.jpg,rain,6,7.5
0081e27b-17bf4a9e.jpg,rain,7,6.49
0081e27b-17bf4a9e.jpg,rain,8,5.69
0081e27b-17bf4a9e.jpg,rain,9,5.0
00beeb02-50440dcd.jpg,motion_blur,1,32.64
00beeb02-50440dcd.jpg,motion_blur,2,27.72
00beeb02-50440dcd.jpg,motion_blur,3,25.56
00beeb02-50440dcd.jpg,motion_blur,4,24.31
00beeb02-50440dcd.jpg,motion_blur,5,23.4
00beeb02-50440dcd.jpg,motion_blur,6,22.69
00beeb02-50440dcd.jpg,motion_blur,7,22.12
00beeb02-50440dcd.jpg,motion_blur,8,21.66
00beeb02-50440dcd.jpg,motion_blur,9,21.28
00beeb02-50440dcd.jpg,low_light,1,9.73
00beeb02-50440dcd.jpg,low_light,2,7.43
00beeb02-50440dcd.jpg,low_light,3,5.58
00beeb02-50440dcd.jpg,low_light,4,4.12
00beeb02-50440dcd.jpg,low_light,5,2.95
00beeb02-50440dcd.jpg,low_light,6,1.99
00beeb02-50440dcd.jpg,low_light,7,1.22
00beeb02-50440dcd.jpg,low_light,8,0.62
00beeb02-50440dcd.jpg,low_light,9,0.19
00beeb02-50440dcd.jpg,rain,1,22.19
00beeb02-50440dcd.jpg,rain,2,15.99
00beeb02-50440dcd.jpg,rain,3,12.01
00beeb02-50440dcd.jpg,rain,4,9.6
00beeb02-50440dcd.jpg,rain,5,7.86
00beeb02-50440dcd.jpg,rain,6,6.57
00beeb02-50440dcd.jpg,rain,7,5.53
00beeb02-50440dcd.jpg,rain,8,4.68
00beeb02-50440dcd.jpg,rain,9,3.94
00d4b6b7-7d0a60bf.jpg,motion_blur,1,31.73
00d4b6b7-7d0a60bf.jpg,motion_blur,2,26.97
00d4b6b7-7d0a60bf.jpg,motion_blur,3,25.17
00d4b6b7-7d0a60bf.jpg,motion_blur,4,24.13
00d4b6b7-7d0a60bf.jpg,motion_blur,5,23.3
00d4b6b7-7d0a60bf.jpg,motion_blur,6,22.65
00d4b6b7-7d0a60bf.jpg,motion_blur,7,22.13
00d4b6b7-7d0a60bf.jpg,motion_blur,8,21.68
00d4b6b7-7d0a60bf.jpg,motion_blur,9,21.28
00d4b6b7-7d0a60bf.jpg,low_light,1,10.16
00d4b6b7-7d0a60bf.jpg,low_light,2,7.59
00d4b6b7-7d0a60bf.jpg,low_light,3,5.64
00d4b6b7-7d0a60bf.jpg,low_light,4,4.15
00d4b6b7-7d0a60bf.jpg,low_light,5,2.96
00d4b6b7-7d0a60bf.jpg,low_light,6,1.99
00d4b6b7-7d0a60bf.jpg,low_light,7,1.22
00d4b6b7-7d0a60bf.jpg,low_light,8,0.62
00d4b6b7-7d0a60bf.jpg,low_light,9,0.19
00d4b6b7-7d0a60bf.jpg,rain,1,21.62
00d4b6b7-7d0a60bf.jpg,rain,2,16.35
00d4b6b7-7d0a60bf.jpg,rain,3,12.3
00d4b6b7-7d0a60bf.jpg,rain,4,9.88
00d4b6b7-7d0a60bf.jpg,rain,5,8.16
00d4b6b7-7d0a60bf.jpg,rain,6,6.91
00d4b6b7-7d0a60bf.jpg,rain,7,5.94
00d4b6b7-7d0a60bf.jpg,rain,8,5.17
00d4b6b7-7d0a60bf.jpg,rain,9,4.52
01118704-2d838d7f.jpg,motion_blur,1,31.93
01118704-2d838d7f.jpg,motion_blur,2,27.41
01118704-2d838d7f.jpg,motion_blur,3,25.29
01118704-2d838d7f.jpg,motion_blur,4,23.97
01118704-2d838d7f.jpg,motion_blur,5,23.03
01118704-2d838d7f.jpg,motion_blur,6,22.32
01118704-2d838d7f.jpg,motion_blur,7,21.76
01118704-2d838d7f.jpg,motion_blur,8,21.29
01118704-2d838d7f.jpg,motion_blur,9,20.88
01118704-2d838d7f.jpg,low_light,1,10.18
01118704-2d838d7f.jpg,low_light,2,7.63
01118704-2d838d7f.jpg,low_light,3,5.68
01118704-2d838d7f.jpg,low_light,4,4.17
01118704-2d838d7f.jpg,low_light,5,2.98
01118704-2d838d7f.jpg,low_light,6,2.0
01118704-2d838d7f.jpg,low_light,7,1.23
01118704-2d838d7f.jpg,low_light,8,0.63
01118704-2d838d7f.jpg,low_light,9,0.19
01118704-2d838d7f.jpg,rain,1,23.22
01118704-2d838d7f.jpg,rain,2,18.45
01118704-2d838d7f.jpg,rain,3,14.0
01118704-2d838d7f.jpg,rain,4,11.42
01118704-2d838d7f.jpg,rain,5,9.62
01118704-2d838d7f.jpg,rain,6,8.31
01118704-2d838d7f.jpg,rain,7,7.3
01118704-2d838d7f.jpg,rain,8,6.5
01118704-2d838d7f.jpg,rain,9,5.81
0115917e-14907a6a.jpg,motion_blur,1,34.12
