image,left_detected,right_detected
0049e5b8-725e21a0.jpg,True,True
0081e27b-17bf4a9e.jpg,True,True
00beeb02-50440dcd.jpg,True,True
00d4b6b7-7d0a60bf.jpg,True,True
01118704-2d838d7f.jpg,True,True
0115917e-14907a6a.jpg,True,True
02188a44-65ad27f3.jpg,True,True
02494b7b-079febf8.jpg,True,True
029ffd50-dc944dba.jpg,True,True
0464a98b-860229d5.jpg,True,True
051aadb7-51aad566.jpg,True,True
051aadb7-e953bc4d.jpg,True,True
05743a9b-747658e7.jpg,True,True
057af272-6f700aef.jpg,True,True
05d62296-30c620d5.jpg,True,True
05e5a68e-f0e05a42.jpg,True,True
05fa6494-8f436d04.jpg,True,True
060039d9-5218402b.jpg,True,True
064aa0d6-f75ff4d5.jpg,True,True
07de5062-ddddcbd7.jpg,True,True
088351d1-30833ddc.jpg,True,True
08a49c01-675d3899.jpg,True,True
08d4285a-4a25b9b6.jpg,True,True
09ac21d6-eefa8ed0.jpg,True,True
0a0a0b1a-7c39d841.jpg,True,True
0af6039a-f3c91319.jpg,True,True
0b2f5d0d-8fddc1fc.jpg,True,True
0b4225f9-bfb10f88.jpg,True,True
0ba08fe3-880ae118.jpg,True,True
0c2f33b9-f94d69b5.jpg,True,True
0c984e6d-2b5d7ee4.jpg,True,True
0cb67a01-7cf1687e.jpg,True,True
0cc6f3e8-b4c9e348.jpg,True,True
0cf398b3-ce65ab64.jpg,True,True
0d3ec56a-f4cead6f.jpg,True,True
0d61234a-542010b2.jpg,True,True
0e442b65-b17e0b50.jpg,True,True
0e5c7e92-0d9c60f0.jpg,True,True
0f837def-9646c091.jpg,True,True
0fba84f9-73b520ee.jpg,True,True
101a0964-930eae70.jpg,True,True
10389fe8-433c740c.jpg,True,True
10453a95-40759ac3.jpg,True,True
1072195f-0a161ade.jpg,True,True
1072195f-6cf88b25.jpg,True,True
11513e3d-150058c3.jpg,True,True
1189ae68-1a8ad3c6.jpg,True,True
12076ebb-c07285d7.jpg,True,True
125134e5-7dfc45b9.jpg,True,True
12ae9ab8-794f5adc.jpg,True,True
13f61134-50021e53.jpg,True,True
14eace5a-ddf3b303.jpg,True,True
1608cfe7-32da2c5d.jpg,True,True
162995f1-d2c7d259.jpg,True,True
16b0973f-c07b564a.jpg,True,True
1784d67b-6b223914.jpg,True,True
1784d67b-d76145ce.jpg,True,True
188c58f3-792afc71.jpg,True,True
193f7f3b-84bc7998.jpg,True,True
194058b0-ac0616a6.jpg,True,True
19e56249-09c4bbc6.jpg,True,True
1a71faae-d5f255fd.jpg,True,True
1a8992a7-da5a8510.jpg,True,True
1ac0178c-0b259360.jpg,True,True
1b30f76f-95aa8a06.jpg,True,True
1bda5a26-420ceea6.jpg,True,True
1bf7f3d2-15f95138.jpg,True,True
1c227a12-10e5552c.jpg,True,True
1c227a12-ec67af93.jpg,True,True
1c5e9657-2e2a2863.jpg,True,True
1cb2a89b-4594573e.jpg,True,True
1cf54809-c6daa5a9.jpg,True,True
1d5e05f8-5020f67d.jpg,True,True
1e57ae90-806bc767.jpg,True,True
1f959fdd-6ff63d34.jpg,True,True
1fa65acf-d43367bc.jpg,True,True
20cfadfa-47711496.jpg,True,True
20cfadfa-6f87fdc1.jpg,True,True
225a1858-0e3a4b04.jpg,True,True
22be2f14-59fbdca0.jpg,True,True
23333f35-0cbc3f0f.jpg,True,True
23df146f-64b50e4c.jpg,True,True
24392d7c-998011c2.jpg,True,True
250e7595-b14da270.jpg,True,True
26190b83-39ccb412.jpg,True,True
272d52f6-8aac36b3.jpg,True,True
2752681a-e813599a.jpg,True,True
27645526-f038b033.jpg,True,True
2773af6f-23e23a6b.jpg,True,True
28faf684-03ef4c6e.jpg,True,True
292720ee-d847ee69.jpg,True,True
2b54fe2d-c5b810e6.jpg,True,True
2b605c48-8dfe352b.jpg,True,True
2beccce2-354608e2.jpg,True,True
2c87e51d-aa7a8031.jpg,True,True
2ce0b449-e818dc97.jpg,True,True
2cf976a2-479cd46b.jpg,True,True
2e2fae77-b7497ca0.jpg,True,True
2ead8042-2493c03f.jpg,True,True
2f1864c1-1a17d11c.jpg,True,True
2f879dc0-b09e4824.jpg,True,True
2fc9ad1e-ee4c9e43.jpg,True,True
3050b249-0ffbd6ec.jpg,True,True
314cc010-3eab5c90.jpg,True,True
31765c6b-90b0d612.jpg,True,True
31cf6eba-5c84c636.jpg,True,True
32de2244-122f1783.jpg,True,True
33420085-32996107.jpg,True,True
3430a5e6-00ec38d2.jpg,True,True
35eb46d0-8f7e28a0.jpg,True,True
3735fc3d-69d8b80c.jpg,True,True
3740cd4f-ff1d423d.jpg,True,True
375abba2-9f2ed56c.jpg,True,True
37723e55-31730cf5.jpg,True,True
380a3f8e-ba4f0def.jpg,True,True
385b0f61-1aee12ef.jpg,True,True
3865fea7-b4fe472d.jpg,True,True
38e561dd-8ea8ae2d.jpg,True,True
38ed8d8d-93c48de2.jpg,True,True
38ed8d8d-b1c230ef.jpg,True,True
38ed8d8d-fa50400c.jpg,True,True
3900ad8c-8834019f.jpg,False,True
39ddb110-04604b9c.jpg,True,True
39fc6d1c-6155351d.jpg,False,True
3a278d39-b92df256.jpg,True,True
3a3407a2-df8ea956.jpg,True,True
3ad0c4a7-2a3d544e.jpg,True,True
3b1e1bc1-ee64e36e.jpg,True,True
3b44ef5a-c09e8479.jpg,True,True
3b563c5e-0102edaf.jpg,True,True
3b9716a6-d2566395.jpg,True,True
3c0bbdc2-79baffce.jpg,True,True
3c5752b6-9c0bdf98.jpg,True,True
3c95ae26-68abac3f.jpg,True,True
3e0f1745-a95a63ad.jpg,True,True
3f4eb6a6-9eee52f9.jpg,True,True
3f85a987-1ef4053b.jpg,True,True
3fe1feaa-10126fec.jpg,True,True
3ffdaa26-b394f6f8.jpg,False,True
4027c10d-41d54e9b.jpg,True,True
428e99ea-4166e549.jpg,True,True
42e0dd11-74b81997.jpg,True,True
430395d1-931c959e.jpg,True,False
43126e0d-495d04a5.jpg,True,True
43126e0d-cce96832.jpg,True,True
432f9e20-83a0d96c.jpg,True,True
43c7ed5c-b0690325.jpg,True,True
44cc16d9-d2e06fd6.jpg,True,True
45bafa98-1ee18a2f.jpg,True,True
46d048a1-8f7f385c.jpg,True,True
46f76df9-8bf77914.jpg,True,True
480263a0-5aad7ae9.jpg,True,True
488480d6-b94cf415.jpg,True,True
48ed707e-5062e4c3.jpg,True,True
4a289ff2-7da7feb6.jpg,True,True
4a31f3e3-ac7ed780.jpg,True,True
4b2e1dde-65b54419.jpg,True,True
4d4a590b-4332c5ab.jpg,True,True
5069db50-52f5af30.jpg,True,True
50866f46-30d1f303.jpg,True,True
50b115d6-4b08a666.jpg,True,True
50b2e757-6c7d0f63.jpg,True,True
50d0fd05-8db58ebd.jpg,True,True
510671e9-603795e0.jpg,True,True
514a6d58-0790e0cd.jpg,True,True
5150bb50-300d52ce.jpg,True,True
52799e9e-8c8673f3.jpg,True,True
52bda346-fd8ac6e7.jpg,True,True
534418ba-ee05398f.jpg,True,True
54360b72-e00a3f70.jpg,True,True
554d7cd5-a32486dd.jpg,True,True
559fed19-7893646f.jpg,True,True
57165857-e4d4a47f.jpg,True,True
5795bfe7-a599384a.jpg,True,True
57ac74e2-e86131f1.jpg,True,True
57b495f2-6da6b1e5.jpg,True,True
585443c8-2621a6b1.jpg,True,True
5877b384-2545daf4.jpg,True,True
587bb1bf-1aa00fe5.jpg,True,True
5995c288-2d152172.jpg,True,False
59cde7c7-344bffb1.jpg,True,True
