img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db,match_ratio_vs_baseline
00e9be89-00000015.jpg,00e9be89-00000100.jpg,orb,2000,2000,7,5,0.7143,0.0035,46.4286,0.059,0.0526,C:\Users\amit\Project_digital_image_processing__Amit_Alon\outputs\visualizations\task2\degraded_visualizations\motion_blur\level_1\match_00e9be89-00000015__00e9be89-00000100.png,motion_blur,1,28.500270340002437,0.0035
00e9be89-00000100.jpg,00e9be89-00000105.jpg,orb,2000,2000,1044,1032,0.9885,0.522,22.7107,0.0541,0.0541,,motion_blur,1,31.90970488753109,0.522
00e9be89-00000105.jpg,00e9be89-00000110.jpg,orb,2000,2000,1046,1034,0.9885,0.523,20.8298,0.0499,0.0464,,motion_blur,1,31.39963567829991,0.523
00e9be89-00000110.jpg,00e9be89-00000115.jpg,orb,2000,2000,1069,1058,0.9897,0.5345,20.9242,0.0721,0.0309,,motion_blur,1,31.68544967950393,0.5345
00e9be89-00000115.jpg,00e9be89-00000120.jpg,orb,2000,2000,1238,1231,0.9943,0.619,17.6987,0.0384,0.0196,,motion_blur,1,31.89835869122799,0.619
00e9be89-00000120.jpg,00e9be89-00000125.jpg,orb,2000,2000,731,715,0.9781,0.3655,28.2326,0.0301,0.0571,,motion_blur,1,31.94256211276148,0.3655
00e9be89-00000125.jpg,00e9be89-00000130.jpg,orb,2000,2000,862,853,0.9896,0.431,22.5,0.0356,0.0483,,motion_blur,1,31.50385236638424,0.431
00e9be89-00000130.jpg,00e9be89-00000135.jpg,orb,2000,2000,988,982,0.9939,0.494,21.3866,0.0719,0.0543,,motion_blur,1,31.75103310843112,0.494
00e9be89-00000135.jpg,00e9be89-00000140.jpg,orb,2000,2000,1041,1029,0.9885,0.5205,21.3814,0.0687,0.0544,,motion_blur,1,31.742406352557715,0.5205
00e9be89-00000140.jpg,00e9be89-00000145.jpg,orb,2000,2000,248,174,0.7016,0.124,32.5645,0.0452,0.0449,,motion_blur,1,32.56340538488532,0.124
00e9be89-00000145.jpg,00e9be89-00000150.jpg,orb,2000,2000,16,5,0.3125,0.008,43.25,0.042,0.0501,,motion_blur,1,30.42377075515348,0.008
00e9be89-00000150.jpg,00e9be89-00000160.jpg,orb,2000,2000,7,4,0.5714,0.0035,45.7143,0.0751,0.0433,,motion_blur,1,28.889182270074144,0.0035
00e9be89-00000160.jpg,00e9be89-00000165.jpg,orb,2000,2000,13,6,0.4615,0.0065,40.3846,0.0691,0.0436,,motion_blur,1,29.805778936286927,0.0065
00e9be89-00000165.jpg,00e9be89-00000175.jpg,orb,2000,2000,10,4,0.4,0.005,42.9,0.0386,0.0406,,motion_blur,1,29.443987862747164,0.005
00e9be89-00000175.jpg,00e9be89-00000190.jpg,orb,2000,2000,9,5,0.5556,0.0045,41.1111,0.065,0.0505,,motion_blur,1,30.09824056278988,0.0045
00e9be89-00000190.jpg,00e9be89-00001000.jpg,orb,2000,2000,8,4,0.5,0.004,46.25,0.0559,0.0557,,motion_blur,1,34.69895344530296,0.004
00e9be89-00001000.jpg,00e9be89-00001005.jpg,orb,2000,2000,20,6,0.3,0.01,43.5,0.0294,0.0207,,motion_blur,1,42.0797319637144,0.01
00e9be89-00001005.jpg,00e9be89-00001010.jpg,orb,2000,2000,16,5,0.3125,0.008,43.75,0.0337,0.0523,,motion_blur,1,42.51431718873459,0.008
00e9be89-00001010.jpg,00e9be89-00001015.jpg,orb,2000,1990,23,11,0.4783,0.0116,40.3913,0.0667,0.0424,,motion_blur,1,40.95029088981149,0.011546184738955823
00e9be89-00001015.jpg,00e9be89-00001020.jpg,orb,1990,2000,31,8,0.2581,0.0156,39.1613,0.0353,0.0494,,motion_blur,1,39.28227669531405,0.015562248995983935
00e9be89-00001020.jpg,00e9be89-00001025.jpg,orb,2000,2000,14,6,0.4286,0.007,40.4286,0.058,0.0386,,motion_blur,1,38.511767133259056,0.007
00e9be89-00001025.jpg,00e9be89-00001030.jpg,orb,2000,2000,43,16,0.3721,0.0215,40.8372,0.0283,0.05,,motion_blur,1,39.49309725252152,0.0215
00e9be89-00001030.jpg,00e9be89-00001035.jpg,orb,2000,2000,84,50,0.5952,0.042,35.5238,0.0239,0.0576,,motion_blur,1,39.22526365104428,0.042
00e9be89-00001035.jpg,00e9be89-00001040.jpg,orb,2000,2000,120,97,0.8083,0.06,35.2583,0.0595,0.0479,,motion_blur,1,40.76358219057367,0.06
00e9be89-00001040.jpg,00e9be89-00001045.jpg,orb,2000,2000,203,108,0.532,0.1015,35.5567,0.0594,0.0461,,motion_blur,1,40.78286279083716,0.1015
00e9be89-00001045.jpg,00e9be89-00001050.jpg,orb,2000,2000,68,28,0.4118,0.034,38.5147,0.0546,0.0556,,motion_blur,1,41.01892248524446,0.034
